policy_text,policy_area,public_sentiment,impact_label,processed_text
A comprehensive reform significantly improves public access to social welfare services.,social welfare,Positive,High Impact,comprehensive reform significantly improves public access social welfare service
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Negative,Low Impact,minor administrative change introduced local social welfare department procedure
The policy updates documentation rules related to education offices.,education,Neutral,Low Impact,policy update documentation rule related education office
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Neutral,Low Impact,minor administrative change introduced local social welfare department procedure
The policy updates documentation rules related to transport offices.,transport,Neutral,Low Impact,policy update documentation rule related transport office
Minor administrative changes were introduced in local health department procedures.,health,Neutral,Low Impact,minor administrative change introduced local health department procedure
The policy updates documentation rules related to employment offices.,employment,Neutral,Low Impact,policy update documentation rule related employment office
A routine regulation modifies internal operations in the employment sector.,employment,Neutral,Low Impact,routine regulation modifies internal operation employment sector
Local authorities revised guidelines for handling public safety records.,public safety,Neutral,Low Impact,local authority revised guideline handling public safety record
A routine regulation modifies internal operations in the employment sector.,employment,Negative,Low Impact,routine regulation modifies internal operation employment sector
A routine regulation modifies internal operations in the education sector.,education,Negative,Low Impact,routine regulation modifies internal operation education sector
A comprehensive reform significantly improves public access to digital governance services.,digital governance,Neutral,High Impact,comprehensive reform significantly improves public access digital governance service
Small procedural adjustments were made in the management of health programs.,health,Negative,Low Impact,small procedural adjustment made management health program
A new national policy improves access to agriculture services across multiple states.,agriculture,Neutral,High Impact,new national policy improves access agriculture service across multiple state
Minor administrative changes were introduced in local health department procedures.,health,Negative,Low Impact,minor administrative change introduced local health department procedure
Local authorities revised guidelines for handling public safety records.,public safety,Negative,Low Impact,local authority revised guideline handling public safety record
The central government introduces a large-scale initiative to modernize employment.,employment,Positive,High Impact,central government introduces largescale initiative modernize employment
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Negative,Low Impact,minor administrative change introduced local social welfare department procedure
The government launches a nationwide employment reform program affecting millions of citizens.,employment,Positive,High Impact,government launch nationwide employment reform program affecting million citizen
A comprehensive reform significantly improves public access to health services.,health,Neutral,High Impact,comprehensive reform significantly improves public access health service
The policy updates documentation rules related to social welfare offices.,social welfare,Negative,Low Impact,policy update documentation rule related social welfare office
Small procedural adjustments were made in the management of environment programs.,environment,Neutral,Low Impact,small procedural adjustment made management environment program
Major legislation expands funding and infrastructure for employment development.,employment,Positive,High Impact,major legislation expands funding infrastructure employment development
The policy updates documentation rules related to urban development offices.,urban development,Neutral,Low Impact,policy update documentation rule related urban development office
A routine regulation modifies internal operations in the urban development sector.,urban development,Negative,Low Impact,routine regulation modifies internal operation urban development sector
Small procedural adjustments were made in the management of social welfare programs.,social welfare,Negative,Low Impact,small procedural adjustment made management social welfare program
Minor administrative changes were introduced in local digital governance department procedures.,digital governance,Negative,Low Impact,minor administrative change introduced local digital governance department procedure
The government launches a nationwide public safety reform program affecting millions of citizens.,public safety,Positive,High Impact,government launch nationwide public safety reform program affecting million citizen
A routine regulation modifies internal operations in the health sector.,health,Negative,Low Impact,routine regulation modifies internal operation health sector
A new national policy improves access to environment services across multiple states.,environment,Positive,High Impact,new national policy improves access environment service across multiple state
A routine regulation modifies internal operations in the employment sector.,employment,Negative,Low Impact,routine regulation modifies internal operation employment sector
A new national policy improves access to employment services across multiple states.,employment,Neutral,High Impact,new national policy improves access employment service across multiple state
A comprehensive reform significantly improves public access to agriculture services.,agriculture,Positive,High Impact,comprehensive reform significantly improves public access agriculture service
Major legislation expands funding and infrastructure for digital governance development.,digital governance,Neutral,High Impact,major legislation expands funding infrastructure digital governance development
Local authorities revised guidelines for handling digital governance records.,digital governance,Negative,Low Impact,local authority revised guideline handling digital governance record
The government launches a nationwide urban development reform program affecting millions of citizens.,urban development,Neutral,High Impact,government launch nationwide urban development reform program affecting million citizen
Local authorities revised guidelines for handling health records.,health,Negative,Low Impact,local authority revised guideline handling health record
A routine regulation modifies internal operations in the social welfare sector.,social welfare,Neutral,Low Impact,routine regulation modifies internal operation social welfare sector
A new national policy improves access to employment services across multiple states.,employment,Neutral,High Impact,new national policy improves access employment service across multiple state
The government launches a nationwide social welfare reform program affecting millions of citizens.,social welfare,Positive,High Impact,government launch nationwide social welfare reform program affecting million citizen
Major legislation expands funding and infrastructure for health development.,health,Positive,High Impact,major legislation expands funding infrastructure health development
The central government introduces a large-scale initiative to modernize employment.,employment,Neutral,High Impact,central government introduces largescale initiative modernize employment
Small procedural adjustments were made in the management of digital governance programs.,digital governance,Neutral,Low Impact,small procedural adjustment made management digital governance program
Small procedural adjustments were made in the management of agriculture programs.,agriculture,Neutral,Low Impact,small procedural adjustment made management agriculture program
Small procedural adjustments were made in the management of education programs.,education,Neutral,Low Impact,small procedural adjustment made management education program
A new national policy improves access to education services across multiple states.,education,Positive,High Impact,new national policy improves access education service across multiple state
A routine regulation modifies internal operations in the health sector.,health,Neutral,Low Impact,routine regulation modifies internal operation health sector
A routine regulation modifies internal operations in the urban development sector.,urban development,Negative,Low Impact,routine regulation modifies internal operation urban development sector
A comprehensive reform significantly improves public access to transport services.,transport,Positive,High Impact,comprehensive reform significantly improves public access transport service
The government launches a nationwide environment reform program affecting millions of citizens.,environment,Positive,High Impact,government launch nationwide environment reform program affecting million citizen
A new national policy improves access to urban development services across multiple states.,urban development,Neutral,High Impact,new national policy improves access urban development service across multiple state
The policy updates documentation rules related to urban development offices.,urban development,Neutral,Low Impact,policy update documentation rule related urban development office
A routine regulation modifies internal operations in the public safety sector.,public safety,Negative,Low Impact,routine regulation modifies internal operation public safety sector
Minor administrative changes were introduced in local employment department procedures.,employment,Negative,Low Impact,minor administrative change introduced local employment department procedure
The government launches a nationwide agriculture reform program affecting millions of citizens.,agriculture,Neutral,High Impact,government launch nationwide agriculture reform program affecting million citizen
Minor administrative changes were introduced in local environment department procedures.,environment,Neutral,Low Impact,minor administrative change introduced local environment department procedure
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Negative,Low Impact,minor administrative change introduced local social welfare department procedure
The policy updates documentation rules related to urban development offices.,urban development,Neutral,Low Impact,policy update documentation rule related urban development office
Local authorities revised guidelines for handling transport records.,transport,Neutral,Low Impact,local authority revised guideline handling transport record
Small procedural adjustments were made in the management of education programs.,education,Neutral,Low Impact,small procedural adjustment made management education program
Small procedural adjustments were made in the management of environment programs.,environment,Negative,Low Impact,small procedural adjustment made management environment program
The policy updates documentation rules related to transport offices.,transport,Negative,Low Impact,policy update documentation rule related transport office
Local authorities revised guidelines for handling agriculture records.,agriculture,Negative,Low Impact,local authority revised guideline handling agriculture record
The government launches a nationwide public safety reform program affecting millions of citizens.,public safety,Positive,High Impact,government launch nationwide public safety reform program affecting million citizen
A routine regulation modifies internal operations in the digital governance sector.,digital governance,Negative,Low Impact,routine regulation modifies internal operation digital governance sector
Small procedural adjustments were made in the management of agriculture programs.,agriculture,Negative,Low Impact,small procedural adjustment made management agriculture program
A routine regulation modifies internal operations in the agriculture sector.,agriculture,Negative,Low Impact,routine regulation modifies internal operation agriculture sector
The government launches a nationwide public safety reform program affecting millions of citizens.,public safety,Neutral,High Impact,government launch nationwide public safety reform program affecting million citizen
A comprehensive reform significantly improves public access to urban development services.,urban development,Neutral,High Impact,comprehensive reform significantly improves public access urban development service
The policy updates documentation rules related to education offices.,education,Neutral,Low Impact,policy update documentation rule related education office
Local authorities revised guidelines for handling public safety records.,public safety,Negative,Low Impact,local authority revised guideline handling public safety record
Small procedural adjustments were made in the management of environment programs.,environment,Negative,Low Impact,small procedural adjustment made management environment program
A new national policy improves access to public safety services across multiple states.,public safety,Neutral,High Impact,new national policy improves access public safety service across multiple state
Major legislation expands funding and infrastructure for social welfare development.,social welfare,Positive,High Impact,major legislation expands funding infrastructure social welfare development
Major legislation expands funding and infrastructure for agriculture development.,agriculture,Neutral,High Impact,major legislation expands funding infrastructure agriculture development
A comprehensive reform significantly improves public access to agriculture services.,agriculture,Positive,High Impact,comprehensive reform significantly improves public access agriculture service
Minor administrative changes were introduced in local employment department procedures.,employment,Negative,Low Impact,minor administrative change introduced local employment department procedure
Major legislation expands funding and infrastructure for education development.,education,Neutral,High Impact,major legislation expands funding infrastructure education development
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Neutral,Low Impact,minor administrative change introduced local social welfare department procedure
The central government introduces a large-scale initiative to modernize education.,education,Neutral,High Impact,central government introduces largescale initiative modernize education
A comprehensive reform significantly improves public access to environment services.,environment,Neutral,High Impact,comprehensive reform significantly improves public access environment service
Local authorities revised guidelines for handling social welfare records.,social welfare,Negative,Low Impact,local authority revised guideline handling social welfare record
Local authorities revised guidelines for handling agriculture records.,agriculture,Neutral,Low Impact,local authority revised guideline handling agriculture record
Local authorities revised guidelines for handling agriculture records.,agriculture,Negative,Low Impact,local authority revised guideline handling agriculture record
The government launches a nationwide transport reform program affecting millions of citizens.,transport,Neutral,High Impact,government launch nationwide transport reform program affecting million citizen
The government launches a nationwide transport reform program affecting millions of citizens.,transport,Positive,High Impact,government launch nationwide transport reform program affecting million citizen
A routine regulation modifies internal operations in the social welfare sector.,social welfare,Neutral,Low Impact,routine regulation modifies internal operation social welfare sector
A routine regulation modifies internal operations in the agriculture sector.,agriculture,Negative,Low Impact,routine regulation modifies internal operation agriculture sector
Minor administrative changes were introduced in local environment department procedures.,environment,Neutral,Low Impact,minor administrative change introduced local environment department procedure
Small procedural adjustments were made in the management of education programs.,education,Neutral,Low Impact,small procedural adjustment made management education program
A new national policy improves access to urban development services across multiple states.,urban development,Positive,High Impact,new national policy improves access urban development service across multiple state
The central government introduces a large-scale initiative to modernize employment.,employment,Neutral,High Impact,central government introduces largescale initiative modernize employment
Minor administrative changes were introduced in local health department procedures.,health,Negative,Low Impact,minor administrative change introduced local health department procedure
A new national policy improves access to education services across multiple states.,education,Neutral,High Impact,new national policy improves access education service across multiple state
The central government introduces a large-scale initiative to modernize urban development.,urban development,Positive,High Impact,central government introduces largescale initiative modernize urban development
Small procedural adjustments were made in the management of education programs.,education,Neutral,Low Impact,small procedural adjustment made management education program
A new national policy improves access to urban development services across multiple states.,urban development,Positive,High Impact,new national policy improves access urban development service across multiple state
A new national policy improves access to public safety services across multiple states.,public safety,Positive,High Impact,new national policy improves access public safety service across multiple state
Small procedural adjustments were made in the management of environment programs.,environment,Negative,Low Impact,small procedural adjustment made management environment program
Local authorities revised guidelines for handling social welfare records.,social welfare,Negative,Low Impact,local authority revised guideline handling social welfare record
Major legislation expands funding and infrastructure for urban development development.,urban development,Neutral,High Impact,major legislation expands funding infrastructure urban development development
A new national policy improves access to public safety services across multiple states.,public safety,Positive,High Impact,new national policy improves access public safety service across multiple state
A routine regulation modifies internal operations in the social welfare sector.,social welfare,Negative,Low Impact,routine regulation modifies internal operation social welfare sector
A routine regulation modifies internal operations in the social welfare sector.,social welfare,Neutral,Low Impact,routine regulation modifies internal operation social welfare sector
A comprehensive reform significantly improves public access to employment services.,employment,Positive,High Impact,comprehensive reform significantly improves public access employment service
The policy updates documentation rules related to education offices.,education,Neutral,Low Impact,policy update documentation rule related education office
Minor administrative changes were introduced in local environment department procedures.,environment,Negative,Low Impact,minor administrative change introduced local environment department procedure
The government launches a nationwide social welfare reform program affecting millions of citizens.,social welfare,Positive,High Impact,government launch nationwide social welfare reform program affecting million citizen
A comprehensive reform significantly improves public access to transport services.,transport,Positive,High Impact,comprehensive reform significantly improves public access transport service
A new national policy improves access to public safety services across multiple states.,public safety,Positive,High Impact,new national policy improves access public safety service across multiple state
Major legislation expands funding and infrastructure for social welfare development.,social welfare,Positive,High Impact,major legislation expands funding infrastructure social welfare development
Major legislation expands funding and infrastructure for employment development.,employment,Neutral,High Impact,major legislation expands funding infrastructure employment development
A comprehensive reform significantly improves public access to transport services.,transport,Neutral,High Impact,comprehensive reform significantly improves public access transport service
The policy updates documentation rules related to digital governance offices.,digital governance,Neutral,Low Impact,policy update documentation rule related digital governance office
A comprehensive reform significantly improves public access to digital governance services.,digital governance,Positive,High Impact,comprehensive reform significantly improves public access digital governance service
A routine regulation modifies internal operations in the education sector.,education,Neutral,Low Impact,routine regulation modifies internal operation education sector
The central government introduces a large-scale initiative to modernize public safety.,public safety,Positive,High Impact,central government introduces largescale initiative modernize public safety
The central government introduces a large-scale initiative to modernize health.,health,Positive,High Impact,central government introduces largescale initiative modernize health
The central government introduces a large-scale initiative to modernize education.,education,Positive,High Impact,central government introduces largescale initiative modernize education
A comprehensive reform significantly improves public access to social welfare services.,social welfare,Neutral,High Impact,comprehensive reform significantly improves public access social welfare service
The policy updates documentation rules related to health offices.,health,Negative,Low Impact,policy update documentation rule related health office
Minor administrative changes were introduced in local public safety department procedures.,public safety,Neutral,Low Impact,minor administrative change introduced local public safety department procedure
The government launches a nationwide public safety reform program affecting millions of citizens.,public safety,Neutral,High Impact,government launch nationwide public safety reform program affecting million citizen
A comprehensive reform significantly improves public access to public safety services.,public safety,Neutral,High Impact,comprehensive reform significantly improves public access public safety service
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Negative,Low Impact,minor administrative change introduced local social welfare department procedure
Minor administrative changes were introduced in local agriculture department procedures.,agriculture,Negative,Low Impact,minor administrative change introduced local agriculture department procedure
Minor administrative changes were introduced in local education department procedures.,education,Negative,Low Impact,minor administrative change introduced local education department procedure
The government launches a nationwide agriculture reform program affecting millions of citizens.,agriculture,Neutral,High Impact,government launch nationwide agriculture reform program affecting million citizen
A routine regulation modifies internal operations in the health sector.,health,Negative,Low Impact,routine regulation modifies internal operation health sector
A comprehensive reform significantly improves public access to public safety services.,public safety,Neutral,High Impact,comprehensive reform significantly improves public access public safety service
Minor administrative changes were introduced in local employment department procedures.,employment,Neutral,Low Impact,minor administrative change introduced local employment department procedure
Local authorities revised guidelines for handling education records.,education,Negative,Low Impact,local authority revised guideline handling education record
The policy updates documentation rules related to employment offices.,employment,Negative,Low Impact,policy update documentation rule related employment office
The policy updates documentation rules related to health offices.,health,Negative,Low Impact,policy update documentation rule related health office
Minor administrative changes were introduced in local urban development department procedures.,urban development,Neutral,Low Impact,minor administrative change introduced local urban development department procedure
A routine regulation modifies internal operations in the health sector.,health,Negative,Low Impact,routine regulation modifies internal operation health sector
A new national policy improves access to public safety services across multiple states.,public safety,Positive,High Impact,new national policy improves access public safety service across multiple state
A comprehensive reform significantly improves public access to health services.,health,Neutral,High Impact,comprehensive reform significantly improves public access health service
The central government introduces a large-scale initiative to modernize education.,education,Neutral,High Impact,central government introduces largescale initiative modernize education
Small procedural adjustments were made in the management of education programs.,education,Negative,Low Impact,small procedural adjustment made management education program
The policy updates documentation rules related to transport offices.,transport,Negative,Low Impact,policy update documentation rule related transport office
The policy updates documentation rules related to urban development offices.,urban development,Neutral,Low Impact,policy update documentation rule related urban development office
The central government introduces a large-scale initiative to modernize health.,health,Neutral,High Impact,central government introduces largescale initiative modernize health
Local authorities revised guidelines for handling urban development records.,urban development,Negative,Low Impact,local authority revised guideline handling urban development record
Local authorities revised guidelines for handling employment records.,employment,Neutral,Low Impact,local authority revised guideline handling employment record
The central government introduces a large-scale initiative to modernize digital governance.,digital governance,Neutral,High Impact,central government introduces largescale initiative modernize digital governance
Minor administrative changes were introduced in local environment department procedures.,environment,Negative,Low Impact,minor administrative change introduced local environment department procedure
A comprehensive reform significantly improves public access to agriculture services.,agriculture,Neutral,High Impact,comprehensive reform significantly improves public access agriculture service
Minor administrative changes were introduced in local public safety department procedures.,public safety,Neutral,Low Impact,minor administrative change introduced local public safety department procedure
Local authorities revised guidelines for handling health records.,health,Negative,Low Impact,local authority revised guideline handling health record
Minor administrative changes were introduced in local transport department procedures.,transport,Negative,Low Impact,minor administrative change introduced local transport department procedure
The government launches a nationwide transport reform program affecting millions of citizens.,transport,Positive,High Impact,government launch nationwide transport reform program affecting million citizen
Small procedural adjustments were made in the management of urban development programs.,urban development,Negative,Low Impact,small procedural adjustment made management urban development program
Local authorities revised guidelines for handling social welfare records.,social welfare,Negative,Low Impact,local authority revised guideline handling social welfare record
Local authorities revised guidelines for handling transport records.,transport,Negative,Low Impact,local authority revised guideline handling transport record
Minor administrative changes were introduced in local environment department procedures.,environment,Negative,Low Impact,minor administrative change introduced local environment department procedure
Local authorities revised guidelines for handling digital governance records.,digital governance,Negative,Low Impact,local authority revised guideline handling digital governance record
Major legislation expands funding and infrastructure for digital governance development.,digital governance,Positive,High Impact,major legislation expands funding infrastructure digital governance development
Major legislation expands funding and infrastructure for environment development.,environment,Positive,High Impact,major legislation expands funding infrastructure environment development
A new national policy improves access to transport services across multiple states.,transport,Neutral,High Impact,new national policy improves access transport service across multiple state
The government launches a nationwide digital governance reform program affecting millions of citizens.,digital governance,Neutral,High Impact,government launch nationwide digital governance reform program affecting million citizen
