policy_text,policy_area,public_sentiment,impact_label
Small procedural adjustments were made in the management of employment programs.,employment,Neutral,Low Impact
The government launches a nationwide health reform program affecting millions of citizens.,health,Neutral,High Impact
Major legislation expands funding and infrastructure for transport development.,transport,Positive,High Impact
Major legislation expands funding and infrastructure for social welfare development.,social welfare,Neutral,High Impact
The policy updates documentation rules related to urban development offices.,urban development,Negative,Low Impact
A comprehensive reform significantly improves public access to employment services.,employment,Positive,High Impact
A comprehensive reform significantly improves public access to employment services.,employment,Neutral,High Impact
The government launches a nationwide education reform program affecting millions of citizens.,education,Neutral,High Impact
A comprehensive reform significantly improves public access to education services.,education,Neutral,High Impact
A comprehensive reform significantly improves public access to urban development services.,urban development,Positive,High Impact
Local authorities revised guidelines for handling environment records.,environment,Negative,Low Impact
The central government introduces a large-scale initiative to modernize agriculture.,agriculture,Neutral,High Impact
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Negative,Low Impact
A comprehensive reform significantly improves public access to health services.,health,Positive,High Impact
A routine regulation modifies internal operations in the agriculture sector.,agriculture,Negative,Low Impact
A routine regulation modifies internal operations in the education sector.,education,Negative,Low Impact
Local authorities revised guidelines for handling urban development records.,urban development,Negative,Low Impact
Minor administrative changes were introduced in local health department procedures.,health,Negative,Low Impact
The central government introduces a large-scale initiative to modernize health.,health,Neutral,High Impact
A new national policy improves access to education services across multiple states.,education,Positive,High Impact
Small procedural adjustments were made in the management of education programs.,education,Negative,Low Impact
The policy updates documentation rules related to digital governance offices.,digital governance,Neutral,Low Impact
A comprehensive reform significantly improves public access to social welfare services.,social welfare,Positive,High Impact
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Negative,Low Impact
The policy updates documentation rules related to education offices.,education,Neutral,Low Impact
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Neutral,Low Impact
The policy updates documentation rules related to transport offices.,transport,Neutral,Low Impact
Minor administrative changes were introduced in local health department procedures.,health,Neutral,Low Impact
The policy updates documentation rules related to employment offices.,employment,Neutral,Low Impact
A routine regulation modifies internal operations in the employment sector.,employment,Neutral,Low Impact
Local authorities revised guidelines for handling public safety records.,public safety,Neutral,Low Impact
A routine regulation modifies internal operations in the employment sector.,employment,Negative,Low Impact
A routine regulation modifies internal operations in the education sector.,education,Negative,Low Impact
A comprehensive reform significantly improves public access to digital governance services.,digital governance,Neutral,High Impact
Small procedural adjustments were made in the management of health programs.,health,Negative,Low Impact
A new national policy improves access to agriculture services across multiple states.,agriculture,Neutral,High Impact
Minor administrative changes were introduced in local health department procedures.,health,Negative,Low Impact
Local authorities revised guidelines for handling public safety records.,public safety,Negative,Low Impact
The central government introduces a large-scale initiative to modernize employment.,employment,Positive,High Impact
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Negative,Low Impact
The government launches a nationwide employment reform program affecting millions of citizens.,employment,Positive,High Impact
A comprehensive reform significantly improves public access to health services.,health,Neutral,High Impact
The policy updates documentation rules related to social welfare offices.,social welfare,Negative,Low Impact
Small procedural adjustments were made in the management of environment programs.,environment,Neutral,Low Impact
Major legislation expands funding and infrastructure for employment development.,employment,Positive,High Impact
The policy updates documentation rules related to urban development offices.,urban development,Neutral,Low Impact
A routine regulation modifies internal operations in the urban development sector.,urban development,Negative,Low Impact
Small procedural adjustments were made in the management of social welfare programs.,social welfare,Negative,Low Impact
Minor administrative changes were introduced in local digital governance department procedures.,digital governance,Negative,Low Impact
The government launches a nationwide public safety reform program affecting millions of citizens.,public safety,Positive,High Impact
A routine regulation modifies internal operations in the health sector.,health,Negative,Low Impact
A new national policy improves access to environment services across multiple states.,environment,Positive,High Impact
A routine regulation modifies internal operations in the employment sector.,employment,Negative,Low Impact
A new national policy improves access to employment services across multiple states.,employment,Neutral,High Impact
A comprehensive reform significantly improves public access to agriculture services.,agriculture,Positive,High Impact
Major legislation expands funding and infrastructure for digital governance development.,digital governance,Neutral,High Impact
Local authorities revised guidelines for handling digital governance records.,digital governance,Negative,Low Impact
The government launches a nationwide urban development reform program affecting millions of citizens.,urban development,Neutral,High Impact
Local authorities revised guidelines for handling health records.,health,Negative,Low Impact
A routine regulation modifies internal operations in the social welfare sector.,social welfare,Neutral,Low Impact
A new national policy improves access to employment services across multiple states.,employment,Neutral,High Impact
The government launches a nationwide social welfare reform program affecting millions of citizens.,social welfare,Positive,High Impact
Major legislation expands funding and infrastructure for health development.,health,Positive,High Impact
The central government introduces a large-scale initiative to modernize employment.,employment,Neutral,High Impact
Small procedural adjustments were made in the management of digital governance programs.,digital governance,Neutral,Low Impact
Small procedural adjustments were made in the management of agriculture programs.,agriculture,Neutral,Low Impact
Small procedural adjustments were made in the management of education programs.,education,Neutral,Low Impact
A new national policy improves access to education services across multiple states.,education,Positive,High Impact
A routine regulation modifies internal operations in the health sector.,health,Neutral,Low Impact
A routine regulation modifies internal operations in the urban development sector.,urban development,Negative,Low Impact
A comprehensive reform significantly improves public access to transport services.,transport,Positive,High Impact
The government launches a nationwide environment reform program affecting millions of citizens.,environment,Positive,High Impact
A new national policy improves access to urban development services across multiple states.,urban development,Neutral,High Impact
The policy updates documentation rules related to urban development offices.,urban development,Neutral,Low Impact
A routine regulation modifies internal operations in the public safety sector.,public safety,Negative,Low Impact
Minor administrative changes were introduced in local employment department procedures.,employment,Negative,Low Impact
The government launches a nationwide agriculture reform program affecting millions of citizens.,agriculture,Neutral,High Impact
Minor administrative changes were introduced in local environment department procedures.,environment,Neutral,Low Impact
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Negative,Low Impact
The policy updates documentation rules related to urban development offices.,urban development,Neutral,Low Impact
Local authorities revised guidelines for handling transport records.,transport,Neutral,Low Impact
Small procedural adjustments were made in the management of education programs.,education,Neutral,Low Impact
Small procedural adjustments were made in the management of environment programs.,environment,Negative,Low Impact
The policy updates documentation rules related to transport offices.,transport,Negative,Low Impact
Local authorities revised guidelines for handling agriculture records.,agriculture,Negative,Low Impact
The government launches a nationwide public safety reform program affecting millions of citizens.,public safety,Positive,High Impact
A routine regulation modifies internal operations in the digital governance sector.,digital governance,Negative,Low Impact
Small procedural adjustments were made in the management of agriculture programs.,agriculture,Negative,Low Impact
A routine regulation modifies internal operations in the agriculture sector.,agriculture,Negative,Low Impact
The government launches a nationwide public safety reform program affecting millions of citizens.,public safety,Neutral,High Impact
A comprehensive reform significantly improves public access to urban development services.,urban development,Neutral,High Impact
The policy updates documentation rules related to education offices.,education,Neutral,Low Impact
Local authorities revised guidelines for handling public safety records.,public safety,Negative,Low Impact
Small procedural adjustments were made in the management of environment programs.,environment,Negative,Low Impact
A new national policy improves access to public safety services across multiple states.,public safety,Neutral,High Impact
Major legislation expands funding and infrastructure for social welfare development.,social welfare,Positive,High Impact
Major legislation expands funding and infrastructure for agriculture development.,agriculture,Neutral,High Impact
A comprehensive reform significantly improves public access to agriculture services.,agriculture,Positive,High Impact
Minor administrative changes were introduced in local employment department procedures.,employment,Negative,Low Impact
Major legislation expands funding and infrastructure for education development.,education,Neutral,High Impact
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize education.,education,Neutral,High Impact
A comprehensive reform significantly improves public access to environment services.,environment,Neutral,High Impact
Local authorities revised guidelines for handling social welfare records.,social welfare,Negative,Low Impact
Local authorities revised guidelines for handling agriculture records.,agriculture,Neutral,Low Impact
Local authorities revised guidelines for handling agriculture records.,agriculture,Negative,Low Impact
The government launches a nationwide transport reform program affecting millions of citizens.,transport,Neutral,High Impact
The government launches a nationwide transport reform program affecting millions of citizens.,transport,Positive,High Impact
A routine regulation modifies internal operations in the social welfare sector.,social welfare,Neutral,Low Impact
A routine regulation modifies internal operations in the agriculture sector.,agriculture,Negative,Low Impact
Minor administrative changes were introduced in local environment department procedures.,environment,Neutral,Low Impact
Small procedural adjustments were made in the management of education programs.,education,Neutral,Low Impact
A new national policy improves access to urban development services across multiple states.,urban development,Positive,High Impact
The central government introduces a large-scale initiative to modernize employment.,employment,Neutral,High Impact
Minor administrative changes were introduced in local health department procedures.,health,Negative,Low Impact
A new national policy improves access to education services across multiple states.,education,Neutral,High Impact
The central government introduces a large-scale initiative to modernize urban development.,urban development,Positive,High Impact
Small procedural adjustments were made in the management of education programs.,education,Neutral,Low Impact
A new national policy improves access to urban development services across multiple states.,urban development,Positive,High Impact
A new national policy improves access to public safety services across multiple states.,public safety,Positive,High Impact
Small procedural adjustments were made in the management of environment programs.,environment,Negative,Low Impact
Local authorities revised guidelines for handling social welfare records.,social welfare,Negative,Low Impact
Major legislation expands funding and infrastructure for urban development development.,urban development,Neutral,High Impact
A new national policy improves access to public safety services across multiple states.,public safety,Positive,High Impact
A routine regulation modifies internal operations in the social welfare sector.,social welfare,Negative,Low Impact
A routine regulation modifies internal operations in the social welfare sector.,social welfare,Neutral,Low Impact
A comprehensive reform significantly improves public access to employment services.,employment,Positive,High Impact
The policy updates documentation rules related to education offices.,education,Neutral,Low Impact
Minor administrative changes were introduced in local environment department procedures.,environment,Negative,Low Impact
The government launches a nationwide social welfare reform program affecting millions of citizens.,social welfare,Positive,High Impact
A comprehensive reform significantly improves public access to transport services.,transport,Positive,High Impact
A new national policy improves access to public safety services across multiple states.,public safety,Positive,High Impact
Major legislation expands funding and infrastructure for social welfare development.,social welfare,Positive,High Impact
Major legislation expands funding and infrastructure for employment development.,employment,Neutral,High Impact
A comprehensive reform significantly improves public access to transport services.,transport,Neutral,High Impact
The policy updates documentation rules related to digital governance offices.,digital governance,Neutral,Low Impact
A comprehensive reform significantly improves public access to digital governance services.,digital governance,Positive,High Impact
A routine regulation modifies internal operations in the education sector.,education,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize public safety.,public safety,Positive,High Impact
The central government introduces a large-scale initiative to modernize health.,health,Positive,High Impact
The central government introduces a large-scale initiative to modernize education.,education,Positive,High Impact
A comprehensive reform significantly improves public access to social welfare services.,social welfare,Neutral,High Impact
The policy updates documentation rules related to health offices.,health,Negative,Low Impact
Minor administrative changes were introduced in local public safety department procedures.,public safety,Neutral,Low Impact
The government launches a nationwide public safety reform program affecting millions of citizens.,public safety,Neutral,High Impact
A comprehensive reform significantly improves public access to public safety services.,public safety,Neutral,High Impact
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Negative,Low Impact
Minor administrative changes were introduced in local agriculture department procedures.,agriculture,Negative,Low Impact
Minor administrative changes were introduced in local education department procedures.,education,Negative,Low Impact
The government launches a nationwide agriculture reform program affecting millions of citizens.,agriculture,Neutral,High Impact
A routine regulation modifies internal operations in the health sector.,health,Negative,Low Impact
A comprehensive reform significantly improves public access to public safety services.,public safety,Neutral,High Impact
Minor administrative changes were introduced in local employment department procedures.,employment,Neutral,Low Impact
Local authorities revised guidelines for handling education records.,education,Negative,Low Impact
The policy updates documentation rules related to employment offices.,employment,Negative,Low Impact
The policy updates documentation rules related to health offices.,health,Negative,Low Impact
Minor administrative changes were introduced in local urban development department procedures.,urban development,Neutral,Low Impact
A routine regulation modifies internal operations in the health sector.,health,Negative,Low Impact
A new national policy improves access to public safety services across multiple states.,public safety,Positive,High Impact
A comprehensive reform significantly improves public access to health services.,health,Neutral,High Impact
The central government introduces a large-scale initiative to modernize education.,education,Neutral,High Impact
Small procedural adjustments were made in the management of education programs.,education,Negative,Low Impact
The policy updates documentation rules related to transport offices.,transport,Negative,Low Impact
The policy updates documentation rules related to urban development offices.,urban development,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize health.,health,Neutral,High Impact
Local authorities revised guidelines for handling urban development records.,urban development,Negative,Low Impact
Local authorities revised guidelines for handling employment records.,employment,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize digital governance.,digital governance,Neutral,High Impact
Minor administrative changes were introduced in local environment department procedures.,environment,Negative,Low Impact
A comprehensive reform significantly improves public access to agriculture services.,agriculture,Neutral,High Impact
Minor administrative changes were introduced in local public safety department procedures.,public safety,Neutral,Low Impact
Local authorities revised guidelines for handling health records.,health,Negative,Low Impact
Minor administrative changes were introduced in local transport department procedures.,transport,Negative,Low Impact
The government launches a nationwide transport reform program affecting millions of citizens.,transport,Positive,High Impact
Small procedural adjustments were made in the management of urban development programs.,urban development,Negative,Low Impact
Local authorities revised guidelines for handling social welfare records.,social welfare,Negative,Low Impact
Local authorities revised guidelines for handling transport records.,transport,Negative,Low Impact
Minor administrative changes were introduced in local environment department procedures.,environment,Negative,Low Impact
Local authorities revised guidelines for handling digital governance records.,digital governance,Negative,Low Impact
Major legislation expands funding and infrastructure for digital governance development.,digital governance,Positive,High Impact
Major legislation expands funding and infrastructure for environment development.,environment,Positive,High Impact
A new national policy improves access to transport services across multiple states.,transport,Neutral,High Impact
The government launches a nationwide digital governance reform program affecting millions of citizens.,digital governance,Neutral,High Impact
A routine regulation modifies internal operations in the agriculture sector.,agriculture,Negative,Low Impact
A new national policy improves access to transport services across multiple states.,transport,Neutral,High Impact
The government launches a nationwide education reform program affecting millions of citizens.,education,Neutral,High Impact
The government launches a nationwide social welfare reform program affecting millions of citizens.,social welfare,Positive,High Impact
The policy updates documentation rules related to education offices.,education,Neutral,Low Impact
Local authorities revised guidelines for handling employment records.,employment,Neutral,Low Impact
Major legislation expands funding and infrastructure for transport development.,transport,Positive,High Impact
The government launches a nationwide health reform program affecting millions of citizens.,health,Neutral,High Impact
The central government introduces a large-scale initiative to modernize digital governance.,digital governance,Neutral,High Impact
The government launches a nationwide education reform program affecting millions of citizens.,education,Neutral,High Impact
Small procedural adjustments were made in the management of urban development programs.,urban development,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize digital governance.,digital governance,Positive,High Impact
A new national policy improves access to urban development services across multiple states.,urban development,Neutral,High Impact
A comprehensive reform significantly improves public access to social welfare services.,social welfare,Positive,High Impact
Major legislation expands funding and infrastructure for environment development.,environment,Neutral,High Impact
The central government introduces a large-scale initiative to modernize urban development.,urban development,Neutral,High Impact
A new national policy improves access to digital governance services across multiple states.,digital governance,Positive,High Impact
The government launches a nationwide environment reform program affecting millions of citizens.,environment,Positive,High Impact
A routine regulation modifies internal operations in the social welfare sector.,social welfare,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize environment.,environment,Positive,High Impact
A routine regulation modifies internal operations in the urban development sector.,urban development,Negative,Low Impact
The central government introduces a large-scale initiative to modernize health.,health,Positive,High Impact
Minor administrative changes were introduced in local environment department procedures.,environment,Negative,Low Impact
A comprehensive reform significantly improves public access to education services.,education,Positive,High Impact
A comprehensive reform significantly improves public access to environment services.,environment,Neutral,High Impact
The central government introduces a large-scale initiative to modernize employment.,employment,Positive,High Impact
Major legislation expands funding and infrastructure for agriculture development.,agriculture,Neutral,High Impact
Small procedural adjustments were made in the management of transport programs.,transport,Negative,Low Impact
Minor administrative changes were introduced in local education department procedures.,education,Neutral,Low Impact
Small procedural adjustments were made in the management of public safety programs.,public safety,Neutral,Low Impact
Small procedural adjustments were made in the management of digital governance programs.,digital governance,Negative,Low Impact
Major legislation expands funding and infrastructure for health development.,health,Neutral,High Impact
Major legislation expands funding and infrastructure for public safety development.,public safety,Positive,High Impact
Local authorities revised guidelines for handling social welfare records.,social welfare,Negative,Low Impact
The government launches a nationwide health reform program affecting millions of citizens.,health,Neutral,High Impact
A routine regulation modifies internal operations in the transport sector.,transport,Negative,Low Impact
Major legislation expands funding and infrastructure for health development.,health,Neutral,High Impact
The policy updates documentation rules related to agriculture offices.,agriculture,Negative,Low Impact
Major legislation expands funding and infrastructure for environment development.,environment,Neutral,High Impact
Local authorities revised guidelines for handling agriculture records.,agriculture,Neutral,Low Impact
Local authorities revised guidelines for handling public safety records.,public safety,Negative,Low Impact
A new national policy improves access to digital governance services across multiple states.,digital governance,Neutral,High Impact
The government launches a nationwide digital governance reform program affecting millions of citizens.,digital governance,Neutral,High Impact
The government launches a nationwide employment reform program affecting millions of citizens.,employment,Neutral,High Impact
The central government introduces a large-scale initiative to modernize digital governance.,digital governance,Neutral,High Impact
Major legislation expands funding and infrastructure for health development.,health,Neutral,High Impact
The policy updates documentation rules related to education offices.,education,Negative,Low Impact
Small procedural adjustments were made in the management of social welfare programs.,social welfare,Negative,Low Impact
The government launches a nationwide education reform program affecting millions of citizens.,education,Neutral,High Impact
The policy updates documentation rules related to education offices.,education,Neutral,Low Impact
A new national policy improves access to transport services across multiple states.,transport,Neutral,High Impact
A comprehensive reform significantly improves public access to health services.,health,Positive,High Impact
Minor administrative changes were introduced in local transport department procedures.,transport,Negative,Low Impact
Local authorities revised guidelines for handling health records.,health,Neutral,Low Impact
A routine regulation modifies internal operations in the urban development sector.,urban development,Negative,Low Impact
The government launches a nationwide education reform program affecting millions of citizens.,education,Positive,High Impact
A routine regulation modifies internal operations in the urban development sector.,urban development,Neutral,Low Impact
The policy updates documentation rules related to urban development offices.,urban development,Negative,Low Impact
Local authorities revised guidelines for handling urban development records.,urban development,Negative,Low Impact
Major legislation expands funding and infrastructure for urban development development.,urban development,Neutral,High Impact
Local authorities revised guidelines for handling social welfare records.,social welfare,Negative,Low Impact
A routine regulation modifies internal operations in the digital governance sector.,digital governance,Neutral,Low Impact
A routine regulation modifies internal operations in the agriculture sector.,agriculture,Negative,Low Impact
Local authorities revised guidelines for handling transport records.,transport,Negative,Low Impact
A new national policy improves access to agriculture services across multiple states.,agriculture,Positive,High Impact
Minor administrative changes were introduced in local environment department procedures.,environment,Neutral,Low Impact
A comprehensive reform significantly improves public access to education services.,education,Neutral,High Impact
Small procedural adjustments were made in the management of environment programs.,environment,Negative,Low Impact
The government launches a nationwide environment reform program affecting millions of citizens.,environment,Positive,High Impact
A routine regulation modifies internal operations in the agriculture sector.,agriculture,Negative,Low Impact
Minor administrative changes were introduced in local education department procedures.,education,Negative,Low Impact
A new national policy improves access to social welfare services across multiple states.,social welfare,Positive,High Impact
The government launches a nationwide environment reform program affecting millions of citizens.,environment,Positive,High Impact
Minor administrative changes were introduced in local agriculture department procedures.,agriculture,Neutral,Low Impact
The policy updates documentation rules related to digital governance offices.,digital governance,Neutral,Low Impact
Local authorities revised guidelines for handling transport records.,transport,Neutral,Low Impact
Small procedural adjustments were made in the management of digital governance programs.,digital governance,Neutral,Low Impact
Small procedural adjustments were made in the management of education programs.,education,Neutral,Low Impact
A comprehensive reform significantly improves public access to health services.,health,Neutral,High Impact
The policy updates documentation rules related to environment offices.,environment,Neutral,Low Impact
A routine regulation modifies internal operations in the employment sector.,employment,Neutral,Low Impact
A new national policy improves access to environment services across multiple states.,environment,Positive,High Impact
The policy updates documentation rules related to education offices.,education,Neutral,Low Impact
Local authorities revised guidelines for handling employment records.,employment,Negative,Low Impact
A new national policy improves access to agriculture services across multiple states.,agriculture,Positive,High Impact
A routine regulation modifies internal operations in the health sector.,health,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize social welfare.,social welfare,Neutral,High Impact
Local authorities revised guidelines for handling agriculture records.,agriculture,Neutral,Low Impact
Small procedural adjustments were made in the management of urban development programs.,urban development,Neutral,Low Impact
Small procedural adjustments were made in the management of employment programs.,employment,Neutral,Low Impact
A routine regulation modifies internal operations in the transport sector.,transport,Neutral,Low Impact
Minor administrative changes were introduced in local public safety department procedures.,public safety,Negative,Low Impact
The government launches a nationwide transport reform program affecting millions of citizens.,transport,Positive,High Impact
Major legislation expands funding and infrastructure for digital governance development.,digital governance,Neutral,High Impact
A comprehensive reform significantly improves public access to health services.,health,Neutral,High Impact
A routine regulation modifies internal operations in the health sector.,health,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize transport.,transport,Positive,High Impact
A comprehensive reform significantly improves public access to health services.,health,Neutral,High Impact
A new national policy improves access to agriculture services across multiple states.,agriculture,Neutral,High Impact
A comprehensive reform significantly improves public access to urban development services.,urban development,Neutral,High Impact
The government launches a nationwide agriculture reform program affecting millions of citizens.,agriculture,Neutral,High Impact
A routine regulation modifies internal operations in the health sector.,health,Negative,Low Impact
Major legislation expands funding and infrastructure for employment development.,employment,Neutral,High Impact
Small procedural adjustments were made in the management of agriculture programs.,agriculture,Neutral,Low Impact
A comprehensive reform significantly improves public access to public safety services.,public safety,Neutral,High Impact
A comprehensive reform significantly improves public access to education services.,education,Positive,High Impact
Small procedural adjustments were made in the management of transport programs.,transport,Neutral,Low Impact
A new national policy improves access to digital governance services across multiple states.,digital governance,Neutral,High Impact
The policy updates documentation rules related to education offices.,education,Neutral,Low Impact
A comprehensive reform significantly improves public access to environment services.,environment,Positive,High Impact
Minor administrative changes were introduced in local public safety department procedures.,public safety,Negative,Low Impact
Major legislation expands funding and infrastructure for digital governance development.,digital governance,Positive,High Impact
The policy updates documentation rules related to urban development offices.,urban development,Neutral,Low Impact
The policy updates documentation rules related to employment offices.,employment,Neutral,Low Impact
Minor administrative changes were introduced in local environment department procedures.,environment,Neutral,Low Impact
Minor administrative changes were introduced in local agriculture department procedures.,agriculture,Negative,Low Impact
A new national policy improves access to urban development services across multiple states.,urban development,Neutral,High Impact
The government launches a nationwide environment reform program affecting millions of citizens.,environment,Neutral,High Impact
A new national policy improves access to environment services across multiple states.,environment,Positive,High Impact
Major legislation expands funding and infrastructure for social welfare development.,social welfare,Positive,High Impact
A comprehensive reform significantly improves public access to digital governance services.,digital governance,Neutral,High Impact
The government launches a nationwide digital governance reform program affecting millions of citizens.,digital governance,Neutral,High Impact
The policy updates documentation rules related to education offices.,education,Neutral,Low Impact
Major legislation expands funding and infrastructure for public safety development.,public safety,Positive,High Impact
Major legislation expands funding and infrastructure for employment development.,employment,Positive,High Impact
A routine regulation modifies internal operations in the agriculture sector.,agriculture,Negative,Low Impact
The policy updates documentation rules related to social welfare offices.,social welfare,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize health.,health,Neutral,High Impact
Local authorities revised guidelines for handling urban development records.,urban development,Negative,Low Impact
A new national policy improves access to social welfare services across multiple states.,social welfare,Positive,High Impact
Major legislation expands funding and infrastructure for digital governance development.,digital governance,Neutral,High Impact
Major legislation expands funding and infrastructure for education development.,education,Positive,High Impact
A routine regulation modifies internal operations in the urban development sector.,urban development,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize health.,health,Positive,High Impact
A routine regulation modifies internal operations in the agriculture sector.,agriculture,Neutral,Low Impact
Minor administrative changes were introduced in local public safety department procedures.,public safety,Negative,Low Impact
Small procedural adjustments were made in the management of digital governance programs.,digital governance,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize digital governance.,digital governance,Positive,High Impact
The central government introduces a large-scale initiative to modernize environment.,environment,Neutral,High Impact
Major legislation expands funding and infrastructure for employment development.,employment,Positive,High Impact
Minor administrative changes were introduced in local environment department procedures.,environment,Negative,Low Impact
The government launches a nationwide agriculture reform program affecting millions of citizens.,agriculture,Positive,High Impact
A comprehensive reform significantly improves public access to employment services.,employment,Positive,High Impact
The central government introduces a large-scale initiative to modernize health.,health,Neutral,High Impact
The central government introduces a large-scale initiative to modernize social welfare.,social welfare,Neutral,High Impact
The government launches a nationwide education reform program affecting millions of citizens.,education,Neutral,High Impact
A comprehensive reform significantly improves public access to social welfare services.,social welfare,Neutral,High Impact
A comprehensive reform significantly improves public access to digital governance services.,digital governance,Neutral,High Impact
