policy_text,label
The Departmental Reporting Format Regulation regulates administrative procedures and operational guidelines for departments in Bihar.,Low Impact
The Government Accountability and Transparency Act enhances transparency standards and civic oversight across administrative bodies in Madhya Pradesh.,High Impact
The Government Accountability and Transparency Act introduces digital portals for public monitoring of government spending in Uttar Pradesh.,High Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Karnataka under the Digital Personal Data Protection Act.,High Impact
The Municipal Parking Regulation Bill introduces minor regulatory adjustments to administrative workflows in Rajasthan.,Low Impact
The Whistle Blowers Protection Act introduces digital portals for public monitoring of government spending in Kerala.,High Impact
The Administrative Procedure Simplification Bill regulates administrative procedures and operational guidelines for departments in Madhya Pradesh.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Rajasthan.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Madhya Pradesh.,Low Impact
The Whistle Blowers Protection Act introduces digital portals for public monitoring of government spending in Telangana.,High Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Rajasthan under the Government Accountability and Transparency Act.,High Impact
The Election Commission Transparency Reform Bill introduces digital portals for public monitoring of government spending in Tamil Nadu.,High Impact
The Municipal Parking Regulation Bill introduces minor regulatory adjustments to administrative workflows in Rajasthan.,Low Impact
The Public Office Infrastructure Maintenance Policy regulates administrative procedures and operational guidelines for departments in Rajasthan.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Bihar.,Low Impact
This regulation updates routine government operational rules under the State Vehicle Tax Adjustment Act in Assam.,Low Impact
The Right to Information Act mandates public disclosure of government records and improves transparency in Maharashtra.,High Impact
The Administrative Procedure Simplification Bill modifies internal administrative processes and documentation standards in Kerala.,Low Impact
"Under the Digital Personal Data Protection Act, all government departments must release public data to citizens in Haryana.",High Impact
The Right to Information Act mandates public disclosure of government records and improves transparency in Bihar.,High Impact
The Motor Vehicles Act amendment on vehicle registration modifies internal administrative processes and documentation standards in Punjab.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Tamil Nadu under the Digital Personal Data Protection Act.,High Impact
The Public Transport Permit Regulation regulates administrative procedures and operational guidelines for departments in Tamil Nadu.,Low Impact
"Under the Public Records Access Reform Act, all government departments must release public data to citizens in Andhra Pradesh.",High Impact
This policy revises standard office procedures and departmental management guidelines in Haryana.,Low Impact
The Open Government Data Policy introduces digital portals for public monitoring of government spending in Haryana.,High Impact
The Whistle Blowers Protection Act mandates public disclosure of government records and improves transparency in Karnataka.,High Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Gujarat under the Open Government Data Policy.,High Impact
The Public Transport Permit Regulation introduces minor regulatory adjustments to administrative workflows in Assam.,Low Impact
The Motor Vehicles Act amendment on vehicle registration introduces minor regulatory adjustments to administrative workflows in Madhya Pradesh.,Low Impact
"Under the Public Procurement Transparency Bill, all government departments must release public data to citizens in Haryana.",High Impact
The Election Commission Transparency Reform Bill mandates public disclosure of government records and improves transparency in Karnataka.,High Impact
The Digital Personal Data Protection Act introduces digital portals for public monitoring of government spending in Bihar.,High Impact
"Under the Public Procurement Transparency Bill, all government departments must release public data to citizens in Gujarat.",High Impact
The Lokpal and Lokayuktas Act enhances transparency standards and civic oversight across administrative bodies in Assam.,High Impact
The Motor Vehicles Act amendment on vehicle registration introduces minor regulatory adjustments to administrative workflows in Punjab.,Low Impact
The Public Procurement Transparency Bill mandates public disclosure of government records and improves transparency in Telangana.,High Impact
The Public Office Infrastructure Maintenance Policy introduces minor regulatory adjustments to administrative workflows in Telangana.,Low Impact
The Public Office Infrastructure Maintenance Policy regulates administrative procedures and operational guidelines for departments in Punjab.,Low Impact
The Election Commission Transparency Reform Bill introduces digital portals for public monitoring of government spending in Kerala.,High Impact
This policy revises standard office procedures and departmental management guidelines in Madhya Pradesh.,Low Impact
This regulation updates routine government operational rules under the Public Office Infrastructure Maintenance Policy in West Bengal.,Low Impact
The Public Transport Permit Regulation modifies internal administrative processes and documentation standards in Madhya Pradesh.,Low Impact
The Public Records Access Reform Act mandates public disclosure of government records and improves transparency in West Bengal.,High Impact
The Government Accountability and Transparency Act introduces digital portals for public monitoring of government spending in Karnataka.,High Impact
The Election Commission Transparency Reform Bill mandates public disclosure of government records and improves transparency in Telangana.,High Impact
The Public Procurement Transparency Bill introduces digital portals for public monitoring of government spending in Odisha.,High Impact
The Public Office Infrastructure Maintenance Policy regulates administrative procedures and operational guidelines for departments in Bihar.,Low Impact
"Under the Open Government Data Policy, all government departments must release public data to citizens in Madhya Pradesh.",High Impact
The Administrative Procedure Simplification Bill introduces minor regulatory adjustments to administrative workflows in Odisha.,Low Impact
"Under the Digital Personal Data Protection Act, all government departments must release public data to citizens in Odisha.",High Impact
The Motor Vehicles Act amendment on vehicle registration modifies internal administrative processes and documentation standards in Punjab.,Low Impact
This regulation updates routine government operational rules under the Departmental Reporting Format Regulation in Madhya Pradesh.,Low Impact
This regulation updates routine government operational rules under the Municipal Parking Regulation Bill in Rajasthan.,Low Impact
This regulation updates routine government operational rules under the Public Office Infrastructure Maintenance Policy in Maharashtra.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Odisha.,Low Impact
This regulation updates routine government operational rules under the Urban Traffic Management Amendment in Madhya Pradesh.,Low Impact
This regulation updates routine government operational rules under the Government Employee Leave Regulation Update in Rajasthan.,Low Impact
The Motor Vehicles Act amendment on vehicle registration modifies internal administrative processes and documentation standards in Bihar.,Low Impact
"Under the Anti-Corruption Amendment Bill, all government departments must release public data to citizens in Andhra Pradesh.",High Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Punjab under the Whistle Blowers Protection Act.,High Impact
The Urban Traffic Management Amendment regulates administrative procedures and operational guidelines for departments in Maharashtra.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Andhra Pradesh under the Right to Information Act.,High Impact
This policy revises standard office procedures and departmental management guidelines in Telangana.,Low Impact
The Government Employee Leave Regulation Update regulates administrative procedures and operational guidelines for departments in Uttar Pradesh.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Andhra Pradesh.,Low Impact
The Municipal Parking Regulation Bill modifies internal administrative processes and documentation standards in Andhra Pradesh.,Low Impact
The Departmental Reporting Format Regulation regulates administrative procedures and operational guidelines for departments in Uttar Pradesh.,Low Impact
The Government Accountability and Transparency Act mandates public disclosure of government records and improves transparency in Assam.,High Impact
The Government Employee Leave Regulation Update modifies internal administrative processes and documentation standards in Haryana.,Low Impact
The Departmental Reporting Format Regulation introduces minor regulatory adjustments to administrative workflows in Bihar.,Low Impact
The Motor Vehicles Act amendment on vehicle registration regulates administrative procedures and operational guidelines for departments in Kerala.,Low Impact
The Urban Traffic Management Amendment regulates administrative procedures and operational guidelines for departments in Haryana.,Low Impact
The Whistle Blowers Protection Act enhances transparency standards and civic oversight across administrative bodies in Uttar Pradesh.,High Impact
This regulation updates routine government operational rules under the Departmental Reporting Format Regulation in Telangana.,Low Impact
The Urban Traffic Management Amendment introduces minor regulatory adjustments to administrative workflows in Uttar Pradesh.,Low Impact
This regulation updates routine government operational rules under the Municipal Parking Regulation Bill in Bihar.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Madhya Pradesh.,Low Impact
The Departmental Reporting Format Regulation introduces minor regulatory adjustments to administrative workflows in Tamil Nadu.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Madhya Pradesh.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Punjab.,Low Impact
The Administrative Procedure Simplification Bill regulates administrative procedures and operational guidelines for departments in Maharashtra.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Telangana.,Low Impact
The Municipal Parking Regulation Bill introduces minor regulatory adjustments to administrative workflows in Assam.,Low Impact
The Government Employee Leave Regulation Update modifies internal administrative processes and documentation standards in Uttar Pradesh.,Low Impact
"Under the Right to Information Act, all government departments must release public data to citizens in Tamil Nadu.",High Impact
The Departmental Reporting Format Regulation introduces minor regulatory adjustments to administrative workflows in West Bengal.,Low Impact
The Public Office Infrastructure Maintenance Policy regulates administrative procedures and operational guidelines for departments in Assam.,Low Impact
The Anti-Corruption Amendment Bill enhances transparency standards and civic oversight across administrative bodies in Gujarat.,High Impact
The Public Procurement Transparency Bill enhances transparency standards and civic oversight across administrative bodies in Rajasthan.,High Impact
The Right to Information Act mandates public disclosure of government records and improves transparency in Maharashtra.,High Impact
This policy revises standard office procedures and departmental management guidelines in Maharashtra.,Low Impact
The Open Government Data Policy mandates public disclosure of government records and improves transparency in Bihar.,High Impact
The State Vehicle Tax Adjustment Act regulates administrative procedures and operational guidelines for departments in Maharashtra.,Low Impact
The Departmental Reporting Format Regulation modifies internal administrative processes and documentation standards in Karnataka.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Haryana under the Open Government Data Policy.,High Impact
The Public Procurement Transparency Bill mandates public disclosure of government records and improves transparency in Kerala.,High Impact
The Government Accountability and Transparency Act enhances transparency standards and civic oversight across administrative bodies in Andhra Pradesh.,High Impact
The Motor Vehicles Act amendment on vehicle registration regulates administrative procedures and operational guidelines for departments in Telangana.,Low Impact
The State Vehicle Tax Adjustment Act modifies internal administrative processes and documentation standards in Telangana.,Low Impact
The Right to Information Act introduces digital portals for public monitoring of government spending in Uttar Pradesh.,High Impact
This policy revises standard office procedures and departmental management guidelines in Bihar.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Punjab under the Public Procurement Transparency Bill.,High Impact
This policy revises standard office procedures and departmental management guidelines in Odisha.,Low Impact
This regulation updates routine government operational rules under the Administrative Procedure Simplification Bill in Karnataka.,Low Impact
The Public Transport Permit Regulation regulates administrative procedures and operational guidelines for departments in Haryana.,Low Impact
The Digital Personal Data Protection Act enhances transparency standards and civic oversight across administrative bodies in Odisha.,High Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Gujarat under the Government Accountability and Transparency Act.,High Impact
"Under the Public Records Access Reform Act, all government departments must release public data to citizens in Madhya Pradesh.",High Impact
The Municipal Parking Regulation Bill introduces minor regulatory adjustments to administrative workflows in Haryana.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Andhra Pradesh under the Public Procurement Transparency Bill.,High Impact
"Under the Public Records Access Reform Act, all government departments must release public data to citizens in Punjab.",High Impact
"Under the Digital Personal Data Protection Act, all government departments must release public data to citizens in Gujarat.",High Impact
The Government Office Attendance Rule Update regulates administrative procedures and operational guidelines for departments in Telangana.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Maharashtra.,Low Impact
The Government Accountability and Transparency Act introduces digital portals for public monitoring of government spending in Punjab.,High Impact
The Digital Personal Data Protection Act enhances transparency standards and civic oversight across administrative bodies in West Bengal.,High Impact
"Under the Public Records Access Reform Act, all government departments must release public data to citizens in Odisha.",High Impact
"Under the Whistle Blowers Protection Act, all government departments must release public data to citizens in Haryana.",High Impact
"Under the Government Accountability and Transparency Act, all government departments must release public data to citizens in Andhra Pradesh.",High Impact
The State Vehicle Tax Adjustment Act regulates administrative procedures and operational guidelines for departments in Kerala.,Low Impact
This regulation updates routine government operational rules under the Government Employee Leave Regulation Update in Bihar.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Kerala under the Lokpal and Lokayuktas Act.,High Impact
The Digital Personal Data Protection Act introduces digital portals for public monitoring of government spending in Bihar.,High Impact
This regulation updates routine government operational rules under the Municipal Parking Regulation Bill in West Bengal.,Low Impact
The Public Procurement Transparency Bill enhances transparency standards and civic oversight across administrative bodies in Tamil Nadu.,High Impact
This regulation updates routine government operational rules under the State Vehicle Tax Adjustment Act in Gujarat.,Low Impact
The Lokpal and Lokayuktas Act introduces digital portals for public monitoring of government spending in Assam.,High Impact
The Lokpal and Lokayuktas Act mandates public disclosure of government records and improves transparency in Bihar.,High Impact
The Administrative Procedure Simplification Bill regulates administrative procedures and operational guidelines for departments in Andhra Pradesh.,Low Impact
The Public Records Access Reform Act mandates public disclosure of government records and improves transparency in Haryana.,High Impact
The Election Commission Transparency Reform Bill introduces digital portals for public monitoring of government spending in Bihar.,High Impact
The Government Employee Leave Regulation Update introduces minor regulatory adjustments to administrative workflows in Karnataka.,Low Impact
The Government Accountability and Transparency Act mandates public disclosure of government records and improves transparency in Telangana.,High Impact
The Government Office Attendance Rule Update regulates administrative procedures and operational guidelines for departments in West Bengal.,Low Impact
The Government Office Attendance Rule Update introduces minor regulatory adjustments to administrative workflows in Andhra Pradesh.,Low Impact
The Departmental Reporting Format Regulation regulates administrative procedures and operational guidelines for departments in Uttar Pradesh.,Low Impact
The Open Government Data Policy mandates public disclosure of government records and improves transparency in Madhya Pradesh.,High Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Gujarat under the Anti-Corruption Amendment Bill.,High Impact
The Public Office Infrastructure Maintenance Policy modifies internal administrative processes and documentation standards in Tamil Nadu.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Karnataka under the Government Accountability and Transparency Act.,High Impact
The Public Office Infrastructure Maintenance Policy regulates administrative procedures and operational guidelines for departments in Rajasthan.,Low Impact
"Under the Anti-Corruption Amendment Bill, all government departments must release public data to citizens in Andhra Pradesh.",High Impact
This policy revises standard office procedures and departmental management guidelines in Haryana.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Rajasthan.,Low Impact
The Right to Information Act mandates public disclosure of government records and improves transparency in West Bengal.,High Impact
This policy revises standard office procedures and departmental management guidelines in Kerala.,Low Impact
The Urban Traffic Management Amendment regulates administrative procedures and operational guidelines for departments in Telangana.,Low Impact
The Government Employee Leave Regulation Update introduces minor regulatory adjustments to administrative workflows in Gujarat.,Low Impact
The Government Accountability and Transparency Act enhances transparency standards and civic oversight across administrative bodies in Bihar.,High Impact
This policy revises standard office procedures and departmental management guidelines in Tamil Nadu.,Low Impact
The Government Accountability and Transparency Act enhances transparency standards and civic oversight across administrative bodies in Andhra Pradesh.,High Impact
The Government Office Attendance Rule Update regulates administrative procedures and operational guidelines for departments in Bihar.,Low Impact
The Government Employee Leave Regulation Update introduces minor regulatory adjustments to administrative workflows in Maharashtra.,Low Impact
"Under the Digital Personal Data Protection Act, all government departments must release public data to citizens in Bihar.",High Impact
This policy revises standard office procedures and departmental management guidelines in Madhya Pradesh.,Low Impact
The Lokpal and Lokayuktas Act mandates public disclosure of government records and improves transparency in Telangana.,High Impact
The Public Transport Permit Regulation modifies internal administrative processes and documentation standards in Maharashtra.,Low Impact
The Municipal Parking Regulation Bill regulates administrative procedures and operational guidelines for departments in Maharashtra.,Low Impact
"Under the Whistle Blowers Protection Act, all government departments must release public data to citizens in Telangana.",High Impact
"Under the Election Commission Transparency Reform Bill, all government departments must release public data to citizens in Madhya Pradesh.",High Impact
The Public Office Infrastructure Maintenance Policy modifies internal administrative processes and documentation standards in Andhra Pradesh.,Low Impact
The State Vehicle Tax Adjustment Act modifies internal administrative processes and documentation standards in Rajasthan.,Low Impact
The Departmental Reporting Format Regulation modifies internal administrative processes and documentation standards in Bihar.,Low Impact
The Public Records Access Reform Act enhances transparency standards and civic oversight across administrative bodies in Maharashtra.,High Impact
This regulation updates routine government operational rules under the Departmental Reporting Format Regulation in Karnataka.,Low Impact
The State Vehicle Tax Adjustment Act regulates administrative procedures and operational guidelines for departments in Tamil Nadu.,Low Impact
The Right to Information Act enhances transparency standards and civic oversight across administrative bodies in Maharashtra.,High Impact
This regulation updates routine government operational rules under the Motor Vehicles Act amendment on vehicle registration in Rajasthan.,Low Impact
"Under the Government Accountability and Transparency Act, all government departments must release public data to citizens in Assam.",High Impact
The Government Accountability and Transparency Act mandates public disclosure of government records and improves transparency in Punjab.,High Impact
"Under the Lokpal and Lokayuktas Act, all government departments must release public data to citizens in Gujarat.",High Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Bihar under the Election Commission Transparency Reform Bill.,High Impact
This regulation updates routine government operational rules under the Departmental Reporting Format Regulation in Rajasthan.,Low Impact
The Urban Traffic Management Amendment regulates administrative procedures and operational guidelines for departments in Maharashtra.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in West Bengal under the Whistle Blowers Protection Act.,High Impact
This policy revises standard office procedures and departmental management guidelines in Andhra Pradesh.,Low Impact
The Government Accountability and Transparency Act mandates public disclosure of government records and improves transparency in Kerala.,High Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Rajasthan under the Digital Personal Data Protection Act.,High Impact
This policy revises standard office procedures and departmental management guidelines in Andhra Pradesh.,Low Impact
This regulation updates routine government operational rules under the State Vehicle Tax Adjustment Act in Odisha.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Bihar under the Government Accountability and Transparency Act.,High Impact
This policy revises standard office procedures and departmental management guidelines in Bihar.,Low Impact
The Public Transport Permit Regulation introduces minor regulatory adjustments to administrative workflows in Odisha.,Low Impact
The Digital Personal Data Protection Act introduces digital portals for public monitoring of government spending in Andhra Pradesh.,High Impact
This policy revises standard office procedures and departmental management guidelines in Kerala.,Low Impact
The Government Office Attendance Rule Update regulates administrative procedures and operational guidelines for departments in Odisha.,Low Impact
The Government Accountability and Transparency Act introduces digital portals for public monitoring of government spending in Madhya Pradesh.,High Impact
The Government Office Attendance Rule Update regulates administrative procedures and operational guidelines for departments in Karnataka.,Low Impact
This regulation updates routine government operational rules under the Public Transport Permit Regulation in Tamil Nadu.,Low Impact
The Government Accountability and Transparency Act mandates public disclosure of government records and improves transparency in Assam.,High Impact
The Lokpal and Lokayuktas Act mandates public disclosure of government records and improves transparency in Odisha.,High Impact
The Government Employee Leave Regulation Update modifies internal administrative processes and documentation standards in Andhra Pradesh.,Low Impact
The Public Procurement Transparency Bill mandates public disclosure of government records and improves transparency in Bihar.,High Impact
The Public Transport Permit Regulation modifies internal administrative processes and documentation standards in Haryana.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Karnataka under the Digital Personal Data Protection Act.,High Impact
The Election Commission Transparency Reform Bill introduces digital portals for public monitoring of government spending in Haryana.,High Impact
The Public Records Access Reform Act introduces digital portals for public monitoring of government spending in Gujarat.,High Impact
The Government Office Attendance Rule Update introduces minor regulatory adjustments to administrative workflows in Punjab.,Low Impact
"Under the Government Accountability and Transparency Act, all government departments must release public data to citizens in Punjab.",High Impact
The Government Office Attendance Rule Update modifies internal administrative processes and documentation standards in Telangana.,Low Impact
This regulation updates routine government operational rules under the Urban Traffic Management Amendment in Kerala.,Low Impact
The Lokpal and Lokayuktas Act introduces digital portals for public monitoring of government spending in Bihar.,High Impact
This regulation updates routine government operational rules under the State Vehicle Tax Adjustment Act in Andhra Pradesh.,Low Impact
The Government Employee Leave Regulation Update regulates administrative procedures and operational guidelines for departments in Karnataka.,Low Impact
The Lokpal and Lokayuktas Act introduces digital portals for public monitoring of government spending in Andhra Pradesh.,High Impact
The Departmental Reporting Format Regulation regulates administrative procedures and operational guidelines for departments in Rajasthan.,Low Impact
The Public Transport Permit Regulation modifies internal administrative processes and documentation standards in Maharashtra.,Low Impact
The Public Procurement Transparency Bill enhances transparency standards and civic oversight across administrative bodies in Gujarat.,High Impact
The Public Procurement Transparency Bill introduces digital portals for public monitoring of government spending in Punjab.,High Impact
"Under the Open Government Data Policy, all government departments must release public data to citizens in Assam.",High Impact
The Public Transport Permit Regulation regulates administrative procedures and operational guidelines for departments in Telangana.,Low Impact
The Government Accountability and Transparency Act enhances transparency standards and civic oversight across administrative bodies in Karnataka.,High Impact
The Municipal Parking Regulation Bill modifies internal administrative processes and documentation standards in Punjab.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Karnataka.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Karnataka.,Low Impact
The Government Employee Leave Regulation Update introduces minor regulatory adjustments to administrative workflows in Assam.,Low Impact
The Government Accountability and Transparency Act enhances transparency standards and civic oversight across administrative bodies in Assam.,High Impact
The Public Office Infrastructure Maintenance Policy modifies internal administrative processes and documentation standards in Madhya Pradesh.,Low Impact
The Digital Personal Data Protection Act introduces digital portals for public monitoring of government spending in West Bengal.,High Impact
"Under the Lokpal and Lokayuktas Act, all government departments must release public data to citizens in Tamil Nadu.",High Impact
This policy revises standard office procedures and departmental management guidelines in Odisha.,Low Impact
"Under the Anti-Corruption Amendment Bill, all government departments must release public data to citizens in Assam.",High Impact
The Anti-Corruption Amendment Bill enhances transparency standards and civic oversight across administrative bodies in Andhra Pradesh.,High Impact
"Under the Digital Personal Data Protection Act, all government departments must release public data to citizens in Assam.",High Impact
The Open Government Data Policy enhances transparency standards and civic oversight across administrative bodies in Rajasthan.,High Impact
The Municipal Parking Regulation Bill introduces minor regulatory adjustments to administrative workflows in Maharashtra.,Low Impact
The Digital Personal Data Protection Act introduces digital portals for public monitoring of government spending in Madhya Pradesh.,High Impact
The Public Records Access Reform Act mandates public disclosure of government records and improves transparency in Maharashtra.,High Impact
The Departmental Reporting Format Regulation introduces minor regulatory adjustments to administrative workflows in Karnataka.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Kerala under the Public Procurement Transparency Bill.,High Impact
"Under the Right to Information Act, all government departments must release public data to citizens in Andhra Pradesh.",High Impact
This regulation updates routine government operational rules under the State Vehicle Tax Adjustment Act in Tamil Nadu.,Low Impact
The Anti-Corruption Amendment Bill enhances transparency standards and civic oversight across administrative bodies in Rajasthan.,High Impact
The Lokpal and Lokayuktas Act mandates public disclosure of government records and improves transparency in Madhya Pradesh.,High Impact
The Motor Vehicles Act amendment on vehicle registration introduces minor regulatory adjustments to administrative workflows in Haryana.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Assam.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Gujarat under the Lokpal and Lokayuktas Act.,High Impact
The Digital Personal Data Protection Act introduces digital portals for public monitoring of government spending in Punjab.,High Impact
This policy revises standard office procedures and departmental management guidelines in Assam.,Low Impact
The Departmental Reporting Format Regulation regulates administrative procedures and operational guidelines for departments in Assam.,Low Impact
The Government Office Attendance Rule Update regulates administrative procedures and operational guidelines for departments in Punjab.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Andhra Pradesh.,Low Impact
The Public Records Access Reform Act enhances transparency standards and civic oversight across administrative bodies in Maharashtra.,High Impact
The Open Government Data Policy introduces digital portals for public monitoring of government spending in West Bengal.,High Impact
This regulation updates routine government operational rules under the State Vehicle Tax Adjustment Act in Karnataka.,Low Impact
The Departmental Reporting Format Regulation introduces minor regulatory adjustments to administrative workflows in Bihar.,Low Impact
The Public Transport Permit Regulation introduces minor regulatory adjustments to administrative workflows in Madhya Pradesh.,Low Impact
"Under the Right to Information Act, all government departments must release public data to citizens in West Bengal.",High Impact
The Urban Traffic Management Amendment introduces minor regulatory adjustments to administrative workflows in Kerala.,Low Impact
The Municipal Parking Regulation Bill introduces minor regulatory adjustments to administrative workflows in Haryana.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Andhra Pradesh under the Right to Information Act.,High Impact
The Urban Traffic Management Amendment modifies internal administrative processes and documentation standards in Assam.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Maharashtra.,Low Impact
The Departmental Reporting Format Regulation introduces minor regulatory adjustments to administrative workflows in Tamil Nadu.,Low Impact
This regulation updates routine government operational rules under the Administrative Procedure Simplification Bill in Assam.,Low Impact
The Urban Traffic Management Amendment regulates administrative procedures and operational guidelines for departments in Gujarat.,Low Impact
The Public Records Access Reform Act mandates public disclosure of government records and improves transparency in Uttar Pradesh.,High Impact
This regulation updates routine government operational rules under the Motor Vehicles Act amendment on vehicle registration in Andhra Pradesh.,Low Impact
The Digital Personal Data Protection Act mandates public disclosure of government records and improves transparency in Kerala.,High Impact
This regulation updates routine government operational rules under the Departmental Reporting Format Regulation in Assam.,Low Impact
The Right to Information Act enhances transparency standards and civic oversight across administrative bodies in Gujarat.,High Impact
The Digital Personal Data Protection Act introduces digital portals for public monitoring of government spending in Bihar.,High Impact
"Under the Anti-Corruption Amendment Bill, all government departments must release public data to citizens in Andhra Pradesh.",High Impact
The Public Office Infrastructure Maintenance Policy regulates administrative procedures and operational guidelines for departments in Assam.,Low Impact
The Public Records Access Reform Act introduces digital portals for public monitoring of government spending in Odisha.,High Impact
This policy revises standard office procedures and departmental management guidelines in Madhya Pradesh.,Low Impact
This regulation updates routine government operational rules under the Public Office Infrastructure Maintenance Policy in Telangana.,Low Impact
This legislation strengthens citizen access to government information and accountability mechanisms in Madhya Pradesh under the Whistle Blowers Protection Act.,High Impact
The Lokpal and Lokayuktas Act introduces digital portals for public monitoring of government spending in Kerala.,High Impact
The Government Office Attendance Rule Update introduces minor regulatory adjustments to administrative workflows in Bihar.,Low Impact
This regulation updates routine government operational rules under the Public Office Infrastructure Maintenance Policy in Maharashtra.,Low Impact
The Urban Traffic Management Amendment modifies internal administrative processes and documentation standards in Tamil Nadu.,Low Impact
This policy revises standard office procedures and departmental management guidelines in Rajasthan.,Low Impact
The Municipal Parking Regulation Bill modifies internal administrative processes and documentation standards in Maharashtra.,Low Impact
"Under the Right to Information Act, all government departments must release public data to citizens in Bihar.",High Impact
The Departmental Reporting Format Regulation regulates administrative procedures and operational guidelines for departments in West Bengal.,Low Impact
The Government Employee Leave Regulation Update introduces minor regulatory adjustments to administrative workflows in Tamil Nadu.,Low Impact
