policy_text,policy_area,ministry,year,public_sentiment,impact_label
A comprehensive reform significantly improves public access to social welfare services.,social welfare,Ministry of Housing and Urban Affairs,2007,Positive,High Impact
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Ministry of Health and Family Welfare,2023,Negative,Low Impact
The policy updates documentation rules related to education offices.,education,Ministry of Housing and Urban Affairs,2015,Neutral,Low Impact
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Ministry of Labour and Employment,2017,Neutral,Low Impact
The policy updates documentation rules related to transport offices.,transport,Ministry of Road Transport and Highways,2014,Neutral,Low Impact
Minor administrative changes were introduced in local health department procedures.,health,Ministry of Social Justice and Empowerment,2015,Neutral,Low Impact
The policy updates documentation rules related to employment offices.,employment,Ministry of Social Justice and Empowerment,2014,Neutral,Low Impact
A routine regulation modifies internal operations in the employment sector.,employment,Ministry of Housing and Urban Affairs,2009,Neutral,Low Impact
Local authorities revised guidelines for handling public safety records.,public safety,Ministry of Road Transport and Highways,2008,Neutral,Low Impact
A routine regulation modifies internal operations in the employment sector.,employment,Ministry of Agriculture and Farmers Welfare,2005,Negative,Low Impact
A routine regulation modifies internal operations in the education sector.,education,Ministry of Education,2019,Negative,Low Impact
A comprehensive reform significantly improves public access to digital governance services.,digital governance,Ministry of Labour and Employment,2021,Neutral,High Impact
Small procedural adjustments were made in the management of health programs.,health,Ministry of Labour and Employment,2010,Negative,Low Impact
A new national policy improves access to agriculture services across multiple states.,agriculture,"Ministry of Environment, Forest and Climate Change",2022,Neutral,High Impact
Minor administrative changes were introduced in local health department procedures.,health,Ministry of Health and Family Welfare,2020,Negative,Low Impact
Local authorities revised guidelines for handling public safety records.,public safety,Ministry of Electronics and IT,2014,Negative,Low Impact
The central government introduces a large-scale initiative to modernize employment.,employment,Ministry of Labour and Employment,2011,Positive,High Impact
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Ministry of Education,2015,Negative,Low Impact
The government launches a nationwide employment reform program affecting millions of citizens.,employment,Ministry of Housing and Urban Affairs,2018,Positive,High Impact
A comprehensive reform significantly improves public access to health services.,health,"Ministry of Environment, Forest and Climate Change",2016,Neutral,High Impact
The policy updates documentation rules related to social welfare offices.,social welfare,Ministry of Home Affairs,2018,Negative,Low Impact
Small procedural adjustments were made in the management of environment programs.,environment,"Ministry of Environment, Forest and Climate Change",2010,Neutral,Low Impact
Major legislation expands funding and infrastructure for employment development.,employment,Ministry of Education,2006,Positive,High Impact
The policy updates documentation rules related to urban development offices.,urban development,Ministry of Home Affairs,2024,Neutral,Low Impact
A routine regulation modifies internal operations in the urban development sector.,urban development,"Ministry of Environment, Forest and Climate Change",2019,Negative,Low Impact
Small procedural adjustments were made in the management of social welfare programs.,social welfare,Ministry of Education,2007,Negative,Low Impact
Minor administrative changes were introduced in local digital governance department procedures.,digital governance,"Ministry of Environment, Forest and Climate Change",2015,Negative,Low Impact
The government launches a nationwide public safety reform program affecting millions of citizens.,public safety,Ministry of Housing and Urban Affairs,2012,Positive,High Impact
A routine regulation modifies internal operations in the health sector.,health,Ministry of Electronics and IT,2009,Negative,Low Impact
A new national policy improves access to environment services across multiple states.,environment,Ministry of Housing and Urban Affairs,2016,Positive,High Impact
A routine regulation modifies internal operations in the employment sector.,employment,Ministry of Education,2007,Negative,Low Impact
A new national policy improves access to employment services across multiple states.,employment,Ministry of Home Affairs,2020,Neutral,High Impact
A comprehensive reform significantly improves public access to agriculture services.,agriculture,Ministry of Home Affairs,2010,Positive,High Impact
Major legislation expands funding and infrastructure for digital governance development.,digital governance,Ministry of Education,2020,Neutral,High Impact
Local authorities revised guidelines for handling digital governance records.,digital governance,Ministry of Housing and Urban Affairs,2012,Negative,Low Impact
The government launches a nationwide urban development reform program affecting millions of citizens.,urban development,Ministry of Health and Family Welfare,2012,Neutral,High Impact
Local authorities revised guidelines for handling health records.,health,Ministry of Home Affairs,2006,Negative,Low Impact
A routine regulation modifies internal operations in the social welfare sector.,social welfare,Ministry of Social Justice and Empowerment,2019,Neutral,Low Impact
A new national policy improves access to employment services across multiple states.,employment,Ministry of Electronics and IT,2017,Neutral,High Impact
The government launches a nationwide social welfare reform program affecting millions of citizens.,social welfare,Ministry of Road Transport and Highways,2013,Positive,High Impact
Major legislation expands funding and infrastructure for health development.,health,Ministry of Housing and Urban Affairs,2018,Positive,High Impact
The central government introduces a large-scale initiative to modernize employment.,employment,Ministry of Road Transport and Highways,2024,Neutral,High Impact
Small procedural adjustments were made in the management of digital governance programs.,digital governance,Ministry of Road Transport and Highways,2012,Neutral,Low Impact
Small procedural adjustments were made in the management of agriculture programs.,agriculture,"Ministry of Environment, Forest and Climate Change",2023,Neutral,Low Impact
Small procedural adjustments were made in the management of education programs.,education,Ministry of Road Transport and Highways,2018,Neutral,Low Impact
A new national policy improves access to education services across multiple states.,education,Ministry of Health and Family Welfare,2009,Positive,High Impact
A routine regulation modifies internal operations in the health sector.,health,Ministry of Electronics and IT,2017,Neutral,Low Impact
A routine regulation modifies internal operations in the urban development sector.,urban development,Ministry of Agriculture and Farmers Welfare,2006,Negative,Low Impact
A comprehensive reform significantly improves public access to transport services.,transport,Ministry of Electronics and IT,2022,Positive,High Impact
The government launches a nationwide environment reform program affecting millions of citizens.,environment,Ministry of Agriculture and Farmers Welfare,2013,Positive,High Impact
A new national policy improves access to urban development services across multiple states.,urban development,Ministry of Health and Family Welfare,2017,Neutral,High Impact
The policy updates documentation rules related to urban development offices.,urban development,Ministry of Agriculture and Farmers Welfare,2021,Neutral,Low Impact
A routine regulation modifies internal operations in the public safety sector.,public safety,Ministry of Social Justice and Empowerment,2008,Negative,Low Impact
Minor administrative changes were introduced in local employment department procedures.,employment,Ministry of Electronics and IT,2005,Negative,Low Impact
The government launches a nationwide agriculture reform program affecting millions of citizens.,agriculture,"Ministry of Environment, Forest and Climate Change",2015,Neutral,High Impact
Minor administrative changes were introduced in local environment department procedures.,environment,Ministry of Housing and Urban Affairs,2018,Neutral,Low Impact
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Ministry of Road Transport and Highways,2018,Negative,Low Impact
The policy updates documentation rules related to urban development offices.,urban development,Ministry of Road Transport and Highways,2023,Neutral,Low Impact
Local authorities revised guidelines for handling transport records.,transport,Ministry of Electronics and IT,2021,Neutral,Low Impact
Small procedural adjustments were made in the management of education programs.,education,Ministry of Agriculture and Farmers Welfare,2021,Neutral,Low Impact
Small procedural adjustments were made in the management of environment programs.,environment,Ministry of Education,2018,Negative,Low Impact
The policy updates documentation rules related to transport offices.,transport,Ministry of Agriculture and Farmers Welfare,2007,Negative,Low Impact
Local authorities revised guidelines for handling agriculture records.,agriculture,Ministry of Agriculture and Farmers Welfare,2018,Negative,Low Impact
The government launches a nationwide public safety reform program affecting millions of citizens.,public safety,Ministry of Housing and Urban Affairs,2008,Positive,High Impact
A routine regulation modifies internal operations in the digital governance sector.,digital governance,Ministry of Housing and Urban Affairs,2009,Negative,Low Impact
Small procedural adjustments were made in the management of agriculture programs.,agriculture,Ministry of Agriculture and Farmers Welfare,2018,Negative,Low Impact
A routine regulation modifies internal operations in the agriculture sector.,agriculture,Ministry of Education,2022,Negative,Low Impact
The government launches a nationwide public safety reform program affecting millions of citizens.,public safety,Ministry of Education,2008,Neutral,High Impact
A comprehensive reform significantly improves public access to urban development services.,urban development,Ministry of Road Transport and Highways,2018,Neutral,High Impact
The policy updates documentation rules related to education offices.,education,Ministry of Social Justice and Empowerment,2021,Neutral,Low Impact
Local authorities revised guidelines for handling public safety records.,public safety,Ministry of Education,2008,Negative,Low Impact
Small procedural adjustments were made in the management of environment programs.,environment,Ministry of Housing and Urban Affairs,2018,Negative,Low Impact
A new national policy improves access to public safety services across multiple states.,public safety,Ministry of Education,2018,Neutral,High Impact
Major legislation expands funding and infrastructure for social welfare development.,social welfare,Ministry of Road Transport and Highways,2014,Positive,High Impact
Major legislation expands funding and infrastructure for agriculture development.,agriculture,"Ministry of Environment, Forest and Climate Change",2020,Neutral,High Impact
A comprehensive reform significantly improves public access to agriculture services.,agriculture,Ministry of Housing and Urban Affairs,2010,Positive,High Impact
Minor administrative changes were introduced in local employment department procedures.,employment,Ministry of Social Justice and Empowerment,2007,Negative,Low Impact
Major legislation expands funding and infrastructure for education development.,education,Ministry of Labour and Employment,2009,Neutral,High Impact
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Ministry of Agriculture and Farmers Welfare,2006,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize education.,education,Ministry of Health and Family Welfare,2017,Neutral,High Impact
A comprehensive reform significantly improves public access to environment services.,environment,Ministry of Road Transport and Highways,2015,Neutral,High Impact
Local authorities revised guidelines for handling social welfare records.,social welfare,Ministry of Housing and Urban Affairs,2010,Negative,Low Impact
Local authorities revised guidelines for handling agriculture records.,agriculture,"Ministry of Environment, Forest and Climate Change",2021,Neutral,Low Impact
Local authorities revised guidelines for handling agriculture records.,agriculture,Ministry of Labour and Employment,2017,Negative,Low Impact
The government launches a nationwide transport reform program affecting millions of citizens.,transport,Ministry of Labour and Employment,2022,Neutral,High Impact
The government launches a nationwide transport reform program affecting millions of citizens.,transport,Ministry of Road Transport and Highways,2010,Positive,High Impact
A routine regulation modifies internal operations in the social welfare sector.,social welfare,Ministry of Health and Family Welfare,2010,Neutral,Low Impact
A routine regulation modifies internal operations in the agriculture sector.,agriculture,Ministry of Labour and Employment,2010,Negative,Low Impact
Minor administrative changes were introduced in local environment department procedures.,environment,Ministry of Housing and Urban Affairs,2019,Neutral,Low Impact
Small procedural adjustments were made in the management of education programs.,education,Ministry of Home Affairs,2005,Neutral,Low Impact
A new national policy improves access to urban development services across multiple states.,urban development,Ministry of Housing and Urban Affairs,2023,Positive,High Impact
The central government introduces a large-scale initiative to modernize employment.,employment,Ministry of Education,2019,Neutral,High Impact
Minor administrative changes were introduced in local health department procedures.,health,Ministry of Labour and Employment,2005,Negative,Low Impact
A new national policy improves access to education services across multiple states.,education,Ministry of Education,2017,Neutral,High Impact
The central government introduces a large-scale initiative to modernize urban development.,urban development,Ministry of Labour and Employment,2023,Positive,High Impact
Small procedural adjustments were made in the management of education programs.,education,Ministry of Housing and Urban Affairs,2021,Neutral,Low Impact
A new national policy improves access to urban development services across multiple states.,urban development,Ministry of Road Transport and Highways,2015,Positive,High Impact
A new national policy improves access to public safety services across multiple states.,public safety,Ministry of Housing and Urban Affairs,2011,Positive,High Impact
Small procedural adjustments were made in the management of environment programs.,environment,Ministry of Electronics and IT,2007,Negative,Low Impact
Local authorities revised guidelines for handling social welfare records.,social welfare,Ministry of Education,2009,Negative,Low Impact
Major legislation expands funding and infrastructure for urban development development.,urban development,"Ministry of Environment, Forest and Climate Change",2012,Neutral,High Impact
A new national policy improves access to public safety services across multiple states.,public safety,Ministry of Housing and Urban Affairs,2006,Positive,High Impact
A routine regulation modifies internal operations in the social welfare sector.,social welfare,Ministry of Road Transport and Highways,2020,Negative,Low Impact
A routine regulation modifies internal operations in the social welfare sector.,social welfare,Ministry of Electronics and IT,2007,Neutral,Low Impact
A comprehensive reform significantly improves public access to employment services.,employment,Ministry of Social Justice and Empowerment,2021,Positive,High Impact
The policy updates documentation rules related to education offices.,education,Ministry of Health and Family Welfare,2023,Neutral,Low Impact
Minor administrative changes were introduced in local environment department procedures.,environment,Ministry of Health and Family Welfare,2011,Negative,Low Impact
The government launches a nationwide social welfare reform program affecting millions of citizens.,social welfare,Ministry of Electronics and IT,2010,Positive,High Impact
A comprehensive reform significantly improves public access to transport services.,transport,Ministry of Home Affairs,2021,Positive,High Impact
A new national policy improves access to public safety services across multiple states.,public safety,Ministry of Housing and Urban Affairs,2015,Positive,High Impact
Major legislation expands funding and infrastructure for social welfare development.,social welfare,Ministry of Social Justice and Empowerment,2023,Positive,High Impact
Major legislation expands funding and infrastructure for employment development.,employment,Ministry of Road Transport and Highways,2011,Neutral,High Impact
A comprehensive reform significantly improves public access to transport services.,transport,Ministry of Social Justice and Empowerment,2021,Neutral,High Impact
The policy updates documentation rules related to digital governance offices.,digital governance,Ministry of Education,2022,Neutral,Low Impact
A comprehensive reform significantly improves public access to digital governance services.,digital governance,Ministry of Agriculture and Farmers Welfare,2020,Positive,High Impact
A routine regulation modifies internal operations in the education sector.,education,Ministry of Road Transport and Highways,2019,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize public safety.,public safety,Ministry of Home Affairs,2011,Positive,High Impact
The central government introduces a large-scale initiative to modernize health.,health,Ministry of Road Transport and Highways,2010,Positive,High Impact
The central government introduces a large-scale initiative to modernize education.,education,Ministry of Electronics and IT,2024,Positive,High Impact
A comprehensive reform significantly improves public access to social welfare services.,social welfare,Ministry of Agriculture and Farmers Welfare,2013,Neutral,High Impact
The policy updates documentation rules related to health offices.,health,Ministry of Housing and Urban Affairs,2005,Negative,Low Impact
Minor administrative changes were introduced in local public safety department procedures.,public safety,Ministry of Labour and Employment,2014,Neutral,Low Impact
The government launches a nationwide public safety reform program affecting millions of citizens.,public safety,"Ministry of Environment, Forest and Climate Change",2012,Neutral,High Impact
A comprehensive reform significantly improves public access to public safety services.,public safety,Ministry of Road Transport and Highways,2018,Neutral,High Impact
Minor administrative changes were introduced in local social welfare department procedures.,social welfare,Ministry of Education,2016,Negative,Low Impact
Minor administrative changes were introduced in local agriculture department procedures.,agriculture,Ministry of Social Justice and Empowerment,2015,Negative,Low Impact
Minor administrative changes were introduced in local education department procedures.,education,"Ministry of Environment, Forest and Climate Change",2006,Negative,Low Impact
The government launches a nationwide agriculture reform program affecting millions of citizens.,agriculture,Ministry of Social Justice and Empowerment,2024,Neutral,High Impact
A routine regulation modifies internal operations in the health sector.,health,Ministry of Social Justice and Empowerment,2021,Negative,Low Impact
A comprehensive reform significantly improves public access to public safety services.,public safety,Ministry of Road Transport and Highways,2015,Neutral,High Impact
Minor administrative changes were introduced in local employment department procedures.,employment,"Ministry of Environment, Forest and Climate Change",2020,Neutral,Low Impact
Local authorities revised guidelines for handling education records.,education,Ministry of Social Justice and Empowerment,2024,Negative,Low Impact
The policy updates documentation rules related to employment offices.,employment,Ministry of Electronics and IT,2022,Negative,Low Impact
The policy updates documentation rules related to health offices.,health,Ministry of Social Justice and Empowerment,2024,Negative,Low Impact
Minor administrative changes were introduced in local urban development department procedures.,urban development,Ministry of Road Transport and Highways,2008,Neutral,Low Impact
A routine regulation modifies internal operations in the health sector.,health,Ministry of Electronics and IT,2014,Negative,Low Impact
A new national policy improves access to public safety services across multiple states.,public safety,Ministry of Education,2017,Positive,High Impact
A comprehensive reform significantly improves public access to health services.,health,Ministry of Labour and Employment,2014,Neutral,High Impact
The central government introduces a large-scale initiative to modernize education.,education,Ministry of Social Justice and Empowerment,2018,Neutral,High Impact
Small procedural adjustments were made in the management of education programs.,education,Ministry of Agriculture and Farmers Welfare,2018,Negative,Low Impact
The policy updates documentation rules related to transport offices.,transport,Ministry of Road Transport and Highways,2023,Negative,Low Impact
The policy updates documentation rules related to urban development offices.,urban development,Ministry of Housing and Urban Affairs,2024,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize health.,health,Ministry of Home Affairs,2013,Neutral,High Impact
Local authorities revised guidelines for handling urban development records.,urban development,Ministry of Health and Family Welfare,2007,Negative,Low Impact
Local authorities revised guidelines for handling employment records.,employment,Ministry of Labour and Employment,2016,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize digital governance.,digital governance,Ministry of Health and Family Welfare,2005,Neutral,High Impact
Minor administrative changes were introduced in local environment department procedures.,environment,Ministry of Social Justice and Empowerment,2022,Negative,Low Impact
A comprehensive reform significantly improves public access to agriculture services.,agriculture,"Ministry of Environment, Forest and Climate Change",2023,Neutral,High Impact
Minor administrative changes were introduced in local public safety department procedures.,public safety,Ministry of Home Affairs,2014,Neutral,Low Impact
Local authorities revised guidelines for handling health records.,health,Ministry of Road Transport and Highways,2020,Negative,Low Impact
Minor administrative changes were introduced in local transport department procedures.,transport,Ministry of Housing and Urban Affairs,2007,Negative,Low Impact
The government launches a nationwide transport reform program affecting millions of citizens.,transport,Ministry of Education,2016,Positive,High Impact
Small procedural adjustments were made in the management of urban development programs.,urban development,Ministry of Education,2016,Negative,Low Impact
Local authorities revised guidelines for handling social welfare records.,social welfare,Ministry of Electronics and IT,2012,Negative,Low Impact
Local authorities revised guidelines for handling transport records.,transport,Ministry of Road Transport and Highways,2005,Negative,Low Impact
Minor administrative changes were introduced in local environment department procedures.,environment,Ministry of Electronics and IT,2021,Negative,Low Impact
Local authorities revised guidelines for handling digital governance records.,digital governance,Ministry of Road Transport and Highways,2012,Negative,Low Impact
Major legislation expands funding and infrastructure for digital governance development.,digital governance,Ministry of Housing and Urban Affairs,2008,Positive,High Impact
Major legislation expands funding and infrastructure for environment development.,environment,Ministry of Education,2018,Positive,High Impact
A new national policy improves access to transport services across multiple states.,transport,Ministry of Road Transport and Highways,2020,Neutral,High Impact
The government launches a nationwide digital governance reform program affecting millions of citizens.,digital governance,"Ministry of Environment, Forest and Climate Change",2024,Neutral,High Impact
A routine regulation modifies internal operations in the agriculture sector.,agriculture,Ministry of Agriculture and Farmers Welfare,2009,Negative,Low Impact
A new national policy improves access to transport services across multiple states.,transport,Ministry of Social Justice and Empowerment,2019,Neutral,High Impact
The government launches a nationwide education reform program affecting millions of citizens.,education,Ministry of Health and Family Welfare,2011,Neutral,High Impact
The government launches a nationwide social welfare reform program affecting millions of citizens.,social welfare,Ministry of Education,2008,Positive,High Impact
The policy updates documentation rules related to education offices.,education,Ministry of Electronics and IT,2016,Neutral,Low Impact
Local authorities revised guidelines for handling employment records.,employment,Ministry of Education,2016,Neutral,Low Impact
Major legislation expands funding and infrastructure for transport development.,transport,Ministry of Housing and Urban Affairs,2006,Positive,High Impact
The government launches a nationwide health reform program affecting millions of citizens.,health,Ministry of Education,2015,Neutral,High Impact
The central government introduces a large-scale initiative to modernize digital governance.,digital governance,Ministry of Agriculture and Farmers Welfare,2012,Neutral,High Impact
The government launches a nationwide education reform program affecting millions of citizens.,education,Ministry of Electronics and IT,2014,Neutral,High Impact
Small procedural adjustments were made in the management of urban development programs.,urban development,Ministry of Education,2015,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize digital governance.,digital governance,Ministry of Home Affairs,2017,Positive,High Impact
A new national policy improves access to urban development services across multiple states.,urban development,Ministry of Health and Family Welfare,2011,Neutral,High Impact
A comprehensive reform significantly improves public access to social welfare services.,social welfare,Ministry of Labour and Employment,2016,Positive,High Impact
Major legislation expands funding and infrastructure for environment development.,environment,"Ministry of Environment, Forest and Climate Change",2024,Neutral,High Impact
The central government introduces a large-scale initiative to modernize urban development.,urban development,"Ministry of Environment, Forest and Climate Change",2018,Neutral,High Impact
A new national policy improves access to digital governance services across multiple states.,digital governance,Ministry of Health and Family Welfare,2016,Positive,High Impact
The government launches a nationwide environment reform program affecting millions of citizens.,environment,Ministry of Agriculture and Farmers Welfare,2019,Positive,High Impact
A routine regulation modifies internal operations in the social welfare sector.,social welfare,Ministry of Housing and Urban Affairs,2005,Neutral,Low Impact
The central government introduces a large-scale initiative to modernize environment.,environment,Ministry of Labour and Employment,2016,Positive,High Impact
A routine regulation modifies internal operations in the urban development sector.,urban development,Ministry of Electronics and IT,2024,Negative,Low Impact
The central government introduces a large-scale initiative to modernize health.,health,Ministry of Electronics and IT,2006,Positive,High Impact
Minor administrative changes were introduced in local environment department procedures.,environment,Ministry of Agriculture and Farmers Welfare,2014,Negative,Low Impact
